City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,mahebourg,mu,73.4,shower rain,-44.19691220290422,77.96920804390713,
180,hermanus,za,61.0,overcast clouds,-70.34852131350021,10.422569669068858,
183,bud,no,51.8,broken clouds,73.60869852223222,2.901051534904114,
184,port hardy,ca,46.4,broken clouds,44.04504058718793,-132.71673811302747,
185,saint-paul,re,77.0,scattered clouds,-21.114624629380017,52.94701887834342,
186,phan thiet,vn,74.37,overcast clouds,10.280353643699373,108.95296575197708,
188,bambous virieux,mu,75.0,shower rain,-29.368882347506162,75.24382797700987,
189,san patricio,mx,73.4,clear sky,3.0701071378532734,-115.13199665662718,
190,denpasar,id,77.0,broken clouds,-12.213622456587995,114.72789285904702,
191,puerto ayora,ec,73.0,broken clouds,-0.7507881850476522,-92.7460084677396,
193,kapaa,us,80.6,light rain,11.256881030167007,-174.27021128758554,
194,rikitea,pf,78.26,light rain,-80.65434960773871,-134.03945645766345,
195,ilheus,br,78.8,scattered clouds,-14.844621478228344,-35.42946802193738,
196,albany,au,32.0,broken clouds,-38.396750494033775,116.07582015929458,
197,bubaque,gw,79.9,few clouds,5.390153359964009,-22.297189997117854,
198,jamestown,sh,33.01,clear sky,-32.708769171112515,-8.576750136552405,
199,laguna,br,57.2,clear sky,-35.631028233296135,-40.408026463627344,
200,sivas,tr,30.2,clear sky,39.803008964659526,36.993739900300405,Sivas Hobbit Yamac Evleri
202,nikolskoye,ru,28.4,overcast clouds,55.28424418518055,166.5749871700506,
204,port alfred,za,66.99,scattered clouds,-84.24714311502288,53.29789341438425,
206,faanui,pf,80.58,overcast clouds,-12.536245488114464,-158.22422834833299,
207,rikitea,pf,78.26,light rain,-26.608407830848268,-110.14582611006172,
208,puerto escondido,mx,78.8,broken clouds,5.669866424066341,-101.21673636311314,
209,alta floresta,br,70.27,overcast clouds,-11.21444695772218,-56.969070252150296,
210,lebu,cl,61.21,clear sky,-36.72227692914888,-85.59421665789334,
211,hermanus,za,61.0,overcast clouds,-42.71404286106545,16.582911877124598,
212,gairatganj,in,52.54,clear sky,23.147013205573483,78.22891793079359,
213,sorland,no,37.85,overcast clouds,70.43078038074451,11.407293736149695,
215,mataura,pf,69.01,clear sky,-89.80545823322275,-161.0888602270899,
216,iringa,tz,62.01,overcast clouds,-7.948968852160826,35.536530984657155,
217,tuatapere,nz,69.01,clear sky,-59.74168450325406,157.99618162279359,
218,yatou,cn,38.41,few clouds,37.81975709780326,124.01785528946895,
221,bako,et,64.83,clear sky,5.081513606412008,35.15838790540964,
222,albany,au,32.0,broken clouds,-75.59280243522737,118.25089110691827,
223,busselton,au,61.0,clear sky,-44.356802069486406,91.28730756735813,
225,harper,lr,78.58,overcast clouds,0.046905092681465484,-8.907684331673368,
228,saint-philippe,re,77.0,clear sky,-48.60113967279414,69.43184757127447,
229,sambava,mg,78.06,light rain,-13.608299989342141,53.911740794968004,
230,ixtapa,mx,73.4,broken clouds,5.203004246638715,-107.50209531671769,
231,sitka,us,37.4,light rain,46.37410669950971,-138.60253672702697,
233,hearst,ca,6.8,overcast clouds,50.500193303774005,-84.61784543755248,
234,alice springs,au,80.6,clear sky,-26.464970879700928,134.3024064885734,
236,rocha,uy,68.59,few clouds,-42.97832129216359,-46.77665375381496,
237,lopandino,ru,15.35,clear sky,52.47078459502762,34.94832552677312,
238,hermanus,za,61.0,overcast clouds,-89.03257183451059,-0.21574486252648184,
239,shetpe,kz,25.47,scattered clouds,44.12390770413918,52.076366012523444,
240,atuona,pf,79.03,clear sky,-8.284127471569692,-130.76181922281248,
241,keetmanshoop,na,75.25,clear sky,-25.86843796403504,18.429765854369688,
242,bathsheba,bb,78.8,scattered clouds,21.717763729608837,-43.956460768926384,
